x,y,cell,longitude,latitude,year,swh_winter,swh_spring,swh_summer,swh_fall
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1949,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1950,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1951,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1952,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1953,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1954,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1955,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1956,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1957,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1958,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1959,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1960,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1961,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1962,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1963,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1964,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1965,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1966,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1967,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1968,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1969,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1970,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1971,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1972,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1973,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1974,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1975,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1976,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1977,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1978,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1979,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1980,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1981,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1982,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
-72.08691666666667,41.30309523809524,478,-72.086122,41.30302,1983,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5,5.302412318997085e-5
