x,y,cell,longitude,latitude,hadsst_winter_cellmean,hadsst_spring_cellmean,hadsst_summer_cellmean,hadsst_fall_cellmean,lag_hadsst_summer_cellmean
-72.5,41.5,550,-72.086122,41.30302,5.887718226114909,6.877029131661664,19.832492214065415,15.803238765613452,19.832492214065415
-71.5,41.5,551,-71.36499603512735,41.4770646044823,6.876043633355035,7.447353576754664,19.955688343391763,16.373320734178698,19.955688343391763
-71.5,41.5,551,-71.36499603443934,41.4770930220363,6.876043633355035,7.447353576754664,19.955688343391763,16.373320734178698,19.955688343391763
-71.5,41.5,551,-71.3649763888888,41.4771625,6.876043633355035,7.447353576754664,19.955688343391763,16.373320734178698,19.955688343391763
-71.5,41.5,551,-71.36290972222216,41.4773986111111,6.876043633355035,7.447353576754664,19.955688343391763,16.373320734178698,19.955688343391763
-71.5,41.5,551,-71.362,41.478,6.876043633355035,7.447353576754664,19.955688343391763,16.373320734178698,19.955688343391763
-71.5,41.5,551,-71.3616694444444,41.4781861111111,6.876043633355035,7.447353576754664,19.955688343391763,16.373320734178698,19.955688343391763
-71.5,41.5,551,-71.3605790080763,41.4777983076676,6.876043633355035,7.447353576754664,19.955688343391763,16.373320734178698,19.955688343391763
-71.5,41.5,551,-71.3605790073976,41.4778265132492,6.876043633355035,7.447353576754664,19.955688343391763,16.373320734178698,19.955688343391763
-71.5,41.5,551,-71.36027778,41.47833333,6.876043633355035,7.447353576754664,19.955688343391763,16.373320734178698,19.955688343391763
-71.5,41.5,551,-71.35983055499995,41.47823472,6.876043633355035,7.447353576754664,19.955688343391763,16.373320734178698,19.955688343391763
-71.5,41.5,551,-71.3594166666666,41.4774972222222,6.876043633355035,7.447353576754664,19.955688343391763,16.373320734178698,19.955688343391763
-71.5,41.5,551,-71.357,41.476,6.876043633355035,7.447353576754664,19.955688343391763,16.373320734178698,19.955688343391763
-71.5,41.5,551,-71.33848,41.450199999999995,6.876043633355035,7.447353576754664,19.955688343391763,16.373320734178698,19.955688343391763
-71.5,41.5,551,-71.33143,41.450795,6.876043633355035,7.447353576754664,19.955688343391763,16.373320734178698,19.955688343391763
-71.5,41.5,551,-71.313,41.451,6.876043633355035,7.447353576754664,19.955688343391763,16.373320734178698,19.955688343391763
-70.5,42.5,522,-70.913095,42.338275,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.91286,42.3383575,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.912625,42.33844,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.91259352941177,42.33843088235294,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.9125822,42.3384276,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.91244666666667,42.338388333333334,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.91238722222222,42.33837111111111,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.91235750000001,42.3383625,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.91234827586207,42.3383598275862,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.9123475925926,42.33835962962963,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.91232982758622,42.33835448275862,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.91209,42.338285,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.90753,42.34315,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.90729,42.343055,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.90719,42.416245,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.90716,42.416375,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.907135,42.343535,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.907045,42.34298,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.90703500000001,42.418383250000005,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.907035,42.34224,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.90702357142857,42.34316857142857,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.906995,42.34342,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.90697,42.41904,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.90696750000001,42.3434225,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.90695111111111,42.34343740740741,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.9069475,42.343455,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.90694435483871,42.34347032258064,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.9069374137931,42.343504137931035,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.90693357142857,42.34352285714286,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.90692548387096,42.34356225806451,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.90691724137932,42.3436024137931,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.90691305555555,42.34321333333333,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
