x,y,cell,longitude,latitude,year,hadsst_winter,hadsst_spring,hadsst_summer,hadsst_fall,lag_hadsst_summer
-72.5,41.5,550,-72.086122,41.30302,1949,5.742344379425049,7.7775559425354,21.31886355082194,16.79287560780843,NA
-71.5,41.5,551,-71.36499603512735,41.4770646044823,1949,6.934464931488037,8.674704551696777,21.87757174173991,17.681236902872723,NA
-71.5,41.5,551,-71.36499603443934,41.4770930220363,1949,6.934464931488037,8.674704551696777,21.87757174173991,17.681236902872723,NA
-71.5,41.5,551,-71.3649763888888,41.4771625,1949,6.934464931488037,8.674704551696777,21.87757174173991,17.681236902872723,NA
-71.5,41.5,551,-71.36290972222216,41.4773986111111,1949,6.934464931488037,8.674704551696777,21.87757174173991,17.681236902872723,NA
-71.5,41.5,551,-71.362,41.478,1949,6.934464931488037,8.674704551696777,21.87757174173991,17.681236902872723,NA
-71.5,41.5,551,-71.3616694444444,41.4781861111111,1949,6.934464931488037,8.674704551696777,21.87757174173991,17.681236902872723,NA
-71.5,41.5,551,-71.3605790080763,41.4777983076676,1949,6.934464931488037,8.674704551696777,21.87757174173991,17.681236902872723,NA
-71.5,41.5,551,-71.3605790073976,41.4778265132492,1949,6.934464931488037,8.674704551696777,21.87757174173991,17.681236902872723,NA
-71.5,41.5,551,-71.36027778,41.47833333,1949,6.934464931488037,8.674704551696777,21.87757174173991,17.681236902872723,NA
-71.5,41.5,551,-71.35983055499995,41.47823472,1949,6.934464931488037,8.674704551696777,21.87757174173991,17.681236902872723,NA
-71.5,41.5,551,-71.3594166666666,41.4774972222222,1949,6.934464931488037,8.674704551696777,21.87757174173991,17.681236902872723,NA
-71.5,41.5,551,-71.357,41.476,1949,6.934464931488037,8.674704551696777,21.87757174173991,17.681236902872723,NA
-71.5,41.5,551,-71.33848,41.450199999999995,1949,6.934464931488037,8.674704551696777,21.87757174173991,17.681236902872723,NA
-71.5,41.5,551,-71.33143,41.450795,1949,6.934464931488037,8.674704551696777,21.87757174173991,17.681236902872723,NA
-71.5,41.5,551,-71.313,41.451,1949,6.934464931488037,8.674704551696777,21.87757174173991,17.681236902872723,NA
-70.5,42.5,522,-70.913095,42.338275,1949,6.0084922313690186,7.082245826721191,18.864674886067707,15.174539566040039,NA
-70.5,42.5,522,-70.91286,42.3383575,1949,6.0084922313690186,7.082245826721191,18.864674886067707,15.174539566040039,NA
-70.5,42.5,522,-70.912625,42.33844,1949,6.0084922313690186,7.082245826721191,18.864674886067707,15.174539566040039,NA
-70.5,42.5,522,-70.91259352941177,42.33843088235294,1949,6.0084922313690186,7.082245826721191,18.864674886067707,15.174539566040039,NA
-70.5,42.5,522,-70.9125822,42.3384276,1949,6.0084922313690186,7.082245826721191,18.864674886067707,15.174539566040039,NA
-70.5,42.5,522,-70.91244666666667,42.338388333333334,1949,6.0084922313690186,7.082245826721191,18.864674886067707,15.174539566040039,NA
-70.5,42.5,522,-70.91238722222222,42.33837111111111,1949,6.0084922313690186,7.082245826721191,18.864674886067707,15.174539566040039,NA
-70.5,42.5,522,-70.91235750000001,42.3383625,1949,6.0084922313690186,7.082245826721191,18.864674886067707,15.174539566040039,NA
-70.5,42.5,522,-70.91234827586207,42.3383598275862,1949,6.0084922313690186,7.082245826721191,18.864674886067707,15.174539566040039,NA
-70.5,42.5,522,-70.9123475925926,42.33835962962963,1949,6.0084922313690186,7.082245826721191,18.864674886067707,15.174539566040039,NA
-70.5,42.5,522,-70.91232982758622,42.33835448275862,1949,6.0084922313690186,7.082245826721191,18.864674886067707,15.174539566040039,NA
-70.5,42.5,522,-70.91209,42.338285,1949,6.0084922313690186,7.082245826721191,18.864674886067707,15.174539566040039,NA
-70.5,42.5,522,-70.90753,42.34315,1949,6.0084922313690186,7.082245826721191,18.864674886067707,15.174539566040039,NA
-70.5,42.5,522,-70.90729,42.343055,1949,6.0084922313690186,7.082245826721191,18.864674886067707,15.174539566040039,NA
-70.5,42.5,522,-70.90719,42.416245,1949,6.0084922313690186,7.082245826721191,18.864674886067707,15.174539566040039,NA
-70.5,42.5,522,-70.90716,42.416375,1949,6.0084922313690186,7.082245826721191,18.864674886067707,15.174539566040039,NA
-70.5,42.5,522,-70.907135,42.343535,1949,6.0084922313690186,7.082245826721191,18.864674886067707,15.174539566040039,NA
