x,y,cell,longitude,latitude,year,no3_winter,no3_spring,no3_summer,no3_fall,chl_winter,chl_spring,chl_summer,chl_fall,po4_winter,po4_spring,po4_summer,po4_fall,ph_winter,ph_spring,ph_summer,ph_fall,fe_winter,fe_spring,fe_summer,fe_fall,si_winter,si_spring,si_summer,si_fall
-72,41.25,6202,-72.086122,41.30302,1993,1.362735629081726,1.5451646248499553,0.8808218538761139,0.10587115834156673,1.802958369255066,1.7947899500528972,0.5569303135077158,0.9520984490712484,0.18168768286705017,0.10766408095757167,0.0031325455444554486,0.09650837009151776,8.180745601654053,8.075075149536133,7.984090328216553,8.06896686553955,0.005397991975769401,0.007135067600756884,0.005642087043573459,0.005152734306951364,6.472981929779053,8.135943094889322,9.838672320048014,6.951315085093181
-72,41.25,6202,-72.086122,41.30302,1994,0.8660911719004313,2.100687305132548,0.594710407157739,0.09686708450317383,1.5097334384918213,1.8172633647918701,0.8964602549870809,0.8347938458124796,0.11666805545488994,0.03269278692702452,0.017470647891362507,0.02156839147210121,8.167593320210775,8.07648499806722,8.025848388671875,8.136207262674967,0.005491284653544426,0.005156453233212233,0.004971481238802274,0.005300027628739675,7.113343874613444,10.758259773254395,11.978540102640787,7.288878599802653
-72,41.25,6202,-72.086122,41.30302,1995,0.6577909290790558,2.124270478884379,1.4332421620686848,0.12948925544818243,1.2476994196573894,1.253724733988444,0.5503945648670197,0.9837479591369629,0.06953928619623184,0.03801229984189073,0.014721945937102038,0.02704503790785869,8.152407964070639,8.049311002095541,7.954361915588379,8.086241404215494,0.005163344709823529,0.007093914784491062,0.0059149533820648985,0.00537504938741525,6.296818256378174,10.141467253367106,11.784584363301596,7.264074325561523
-72,41.25,6202,-72.086122,41.30302,1996,1.0436389744281769,1.8163654406865437,0.947706510623296,0.11277482658624649,1.6599094867706299,1.5779414971669514,0.6538337270418803,0.6133857369422913,0.11163354044159253,0.061748672276735306,0.02534819390469541,0.059413100282351174,8.166264216105143,8.067950248718262,7.9780049324035645,8.05170981089274,0.005650750671823819,0.005568465683609247,0.005946854595094919,0.005619032929340999,9.466116905212402,11.260531743367514,9.90896224975586,5.776345729827881
-72,41.25,6202,-72.086122,41.30302,1997,1.0361998677253723,1.233738859494527,0.4088882803916931,0.11361854026714961,1.572089393933614,1.9066951672236125,0.8105925718943278,0.6415327390034994,0.174312154452006,0.0724781962732474,0.051103429247935615,0.10942759364843369,8.136706988016764,8.093769391377768,7.982214291890462,8.0505264600118,0.005153645606090625,0.004738278531779845,0.005694616275529067,0.005497829522937536,7.612724304199219,10.377433776855469,10.791561126708984,6.543344497680664
-72,41.25,6202,-72.086122,41.30302,1998,0.6884067555268606,1.5023405154546101,0.7720213035742441,0.08800427988171577,1.4524190028508503,1.5907843112945557,0.7813762029012045,0.8096210161844889,0.14521872252225876,0.08728950719038646,0.028525271452963352,0.10856875032186508,8.130878448486328,8.052010854085287,7.966284275054932,8.054757912953695,0.005533905544628699,0.006385238530735175,0.005819337442517281,0.005078934443493684,6.98471196492513,10.001311937967936,11.736000061035156,8.759690284729004
-72,41.25,6202,-72.086122,41.30302,1999,0.48595946033795673,1.3259555300076802,0.7477039943138758,0.14008504524827003,1.6762361923853557,1.4563334782918294,0.7769787311553955,1.0444163382053375,0.08386920144160588,0.05589425563812256,0.022739080401758354,0.07599090288082759,8.17566967010498,8.06500212351481,7.977180480957031,8.069867451985678,0.0052163236153622465,0.006434891217698653,0.005638438121726115,0.0048463841279347735,8.79451815287272,11.146244366963705,12.0126584370931,8.566813151041666
-72,41.25,6202,-72.086122,41.30302,2000,0.483759065469106,1.5384479761123657,0.6035675406455994,0.11461204911271732,1.7467866738637288,1.4557634194691975,0.7326032718022665,0.7341565191745758,0.071969280640284225,0.04228351730853319,0.02169303564975659,0.07714192569255829,8.1884918212890625,8.066546122233072,7.98297659556071,8.065432866414389,0.004687808609257142,0.006066596911599238,0.005811838277926047,0.0056715416721999645,10.705205917358398,12.070951779683432,11.178673108418783,6.58170207341512
-72,41.25,6202,-72.086122,41.30302,2001,0.7696894605954488,1.5103445053100586,1.203819175561269,0.08635987589756648,1.3777626355489094,1.5077200730641682,0.712873379389445,0.7968435784180959,0.11134708672761917,0.06186598166823387,0.03656345473912855,0.09462239593267441,8.165950775146484,8.047651926676432,7.959425926208496,8.04893445968628,0.004870116710662842,0.006573640275746584,0.00570003626247247,0.005062781584759553,8.224911530812582,10.884949366251627,14.688813209533691,8.482006708780924
-72,41.25,6202,-72.086122,41.30302,2002,0.4932575424512227,2.0678329269091287,0.6970076138774554,0.08638317883014679,1.58000648021698,1.3977225224177043,0.6758092939853668,0.9149460395177206,0.06967215488354365,0.0391750397781531,0.018632281261185806,0.04175811136762301,8.156737009684244,8.074155807495117,7.9881900151570635,8.093968391418457,0.004901832435280085,0.005279771673182647,0.005569101466486852,0.005529480986297131,8.671321551005045,12.311388969421387,12.240251223246256,8.3653244972229
