k,cutoff,aic,delta_aic
50,10,-4087.8315975360565,0
20,10,-4063.711881914114,24.119715621942305
10,10,-3932.6325251359103,155.19907240014618
8,10,-3919.9613904451267,167.87020709092985
9,10,-3919.45416115613,168.37743637992662
7,10,-3896.7581290416238,191.07346849443275
6,10,-3895.5430252611304,192.28857227492608
5,10,-3891.0156300975873,196.81596743846922
3,10,-3873.1851962384476,214.64640129760892
4,10,-3873.1258752763815,214.70572225967499
80,10,NA,NA
