driver,% change per year,se % change per year
HADSST summer,-0.4460299822361957,0.08143071009194536
HADSST spring,-0.23523998955240488,0.052018295703293305
SWH winter,0.04903223435139825,0.01849061356373749
SWH fall,-0.05738732124677126,0.03276290149334393
