driver,% change per year,se % change per year
OISST summer,-0.8919327921370956,0.18596169845708221
OISST spring,-0.2955396275039601,0.10922566498765551
SWH winter,0.038223420013139275,0.03158958038349535
SWH fall,-0.030845397615975045,0.05042308671372453
NO3 spring,-0.9821118531287532,0.24066495262258236
NO3 winter,0.2739218070616056,0.11664414311289839
Turbidity spring,0.07935788397870347,0.05258805241152853
