latitude,longitude,min_year,max_year
43.134,-70.621,1996,2003
43.141,-70.618,1996,2003
43.164158,-70.591034,2014,2014
43.1648931,-70.600532,1990,1991
43.166109,-70.592358,2015,2015
43.52791,-70.30401,2001,2001
43.53576,-70.30323,2009,2009
43.5358,-70.3032,2014,2014
43.653528,-70.223764,1996,1998
43.665572,-65.867357,1949,2014
43.679202,-65.878484,1980,1982
43.68669,-70.08436,2018,2018
43.687002,-70.082733,2010,2010
43.6915,-70.0828,2006,2006
43.71212,-69.9402,2018,2018
43.7158,-69.9469,2004,2004
43.7159,-69.9402,2006,2006
43.76074,-69.95305,2009,2009
43.76509,-69.96087,2001,2001
43.7651,-69.9514,2014,2014
43.76666,-69.6022,1998,2002
43.771149,-69.586964,2010,2010
43.77564,-69.5885,2013,2013
43.77567,-69.5803,2012,2012
43.7891,-69.5997,2005,2005
43.7933,-69.60166,1998,2002
43.79336,-69.6743,2013,2013
43.7934,-69.6743,2014,2014
43.7934,-69.6682,2004,2004
43.79359,-69.6031,2013,2013
43.79362,-69.59834,2003,2003
43.8166,-69.5516,1998,2003
43.820496,-69.61182,2002,2002
43.82211,-69.6188,2013,2013
43.82462,-69.63938,2001,2001
43.82497,-69.64226,2008,2008
43.8287,-69.6167,2006,2006
43.82947,-69.6401,2012,2012
43.83361,-69.5166,1998,2003
43.835355,-69.506934,1975,2010
43.862259,-69.529659,2002,2002
43.8626,-69.1277,2004,2004
43.86489,-69.53466,2009,2009
43.86717,-69.12148,2003,2003
43.8679,-69.1288,2018,2018
43.8698,-69.5336,2005,2005
43.8711,-69.2962,2005,2005
43.875586,-69.306309,2010,2010
43.87561,-69.2948,2013,2013
43.884171,-69.439068,2002,2002
43.88809,-69.46879,2003,2003
43.8886,-69.4708,2004,2004
43.88869,-69.4331,2013,2013
43.8887,-69.4409,2005,2005
43.88965,-69.12922,2003,2003
43.8897,-69.1201,2004,2004
43.8939,-69.12,2018,2018
43.8942,-69.4653,2006,2006
43.8942,-69.1282,2014,2014
43.9027,-69.270683,2010,2010
43.9027,-69.2706,2016,2016
43.9072,-69.2705,2014,2014
43.91136,-69.3828,2012,2012
43.9116,-69.3146,2006,2006
43.9147,-69.381,2016,2016
43.91571,-69.37804,2001,2001
43.9159,-69.378,2014,2014
43.9194,-69.3091,2014,2014
43.91941,-69.30907,2011,2011
43.9196,-69.3146,2018,2018
43.93324,-69.2937,2012,2012
43.934,-69.3008,2016,2016
43.93412,-69.30068,2011,2011
43.9709,-69.0653,2005,2005
43.9718,-69.0613,2016,2016
43.9753,-69.0841,2017,2017
43.97532,-69.08408,2008,2008
43.9754,-69.0653,2014,2014
43.9798,-69.0903,2005,2005
44.00269,-68.65365,2003,2003
44.005,-68.65243,2017,2018
44.0149,-68.6078,2017,2017
44.015404,-68.609039,2002,2002
44.0199,-68.60991,2003,2003
44.02,-69.0657,2015,2015
44.02038,-69.07162,2009,2009
44.0234,-69.0716,2014,2014
44.0246,-68.8612,2017,2017
44.02460002,-68.86120004,2018,2018
44.0256,-68.8532,2005,2005
44.03881,-68.89272,2017,2017
44.03941,-68.89541,2017,2017
44.039867,-68.892833,2020,2020
44.04001133333333,-68.89277233333334,2020,2020
44.0404,-68.891345,2017,2017
44.055712,-68.578571,2002,2002
44.0602,-68.5785,2004,2004
44.0603,-68.5848,2007,2007
44.06534,-68.67213,2003,2003
44.07,-69.0407,2013,2013
44.0731,-68.6709,2017,2018
44.0737,-69.0407,2007,2007
44.0743,-69.0526,2017,2017
44.07448,-69.0469,2012,2012
44.07453,-69.03446,2011,2011
44.079,-69.0521,2014,2014
44.07907,-69.04713,2001,2001
44.0791,-69.0471,2018,2018
44.09559,-68.48462,2008,2008
44.0999,-68.4789,2017,2017
44.1001,-68.4846,2014,2014
44.1033333,-68.3433333,1997,2000
44.13053,-68.4135,2013,2013
44.13106,-68.40311,2001,2001
44.1355,-68.4031,2004,2004
44.14128,-68.58426,2011,2011
44.1457,-68.578,2004,2004
44.1466667,-68.2516667,1997,2001
44.1491,-68.5842,2014,2014
44.15495,-68.6092,2013,2013
44.1555,-68.5783,2017,2017
44.1575,-68.6139,2015,2015
44.15751,-68.61084,2008,2008
44.15877,-68.5841,2012,2012
44.159,-68.5777,2016,2016
44.16321,-68.49657,2003,2003
44.16329,-68.49663,2001,2001
44.16448,-69.05934,2003,2003
44.1667,-68.494,2014,2014
44.1707,-68.2458,2015,2015
44.171,-68.2494,2018,2018
44.1719,-69.0611,2016,2016
44.17202,-69.0609,2012,2012
44.1722,-69.057,2017,2017
44.1733333,-68.2483333,1997,2000
44.17499,-68.23991,2008,2008
44.17505,-68.24911,2003,2003
44.18516,-68.41244,2009,2009
44.1876,-68.413,2017,2017
44.189623,-68.408779,2002,2002
44.1911,-68.7842,2016,2016
44.191160000000004,-68.78413,2008,2008
44.1928,-68.7964,2015,2015
44.20083,-68.95551,2008,2008
44.2015,-68.9553,2015,2015
44.20533,-68.95215,2011,2011
44.2371,-68.2048,2016,2016
44.2376,-68.2452,2016,2016
44.2379,-68.2391,2017,2017
44.237915,-68.245216,2002,2002
44.23824116,-64.2761317,2000,2022
44.2383333,-68.2066667,1997,2001
44.239,-68.2096,2014,2014
44.2423,-68.2079,2007,2007
44.24974658,-64.33058306,2000,2022
44.27057,-68.26386,2008,2008
44.270626,-68.26944,2010,2010
44.27128069,-64.24709905,2000,2022
44.2762,-68.27,2017,2017
44.29246059,-64.24751404,2000,2022
44.2933,-68.4275,2014,2014
44.29333,-68.43279,2008,2008
44.29782,-68.43277,2011,2011
44.3065,-68.1934,2006,2006
44.3099,-68.1869,2005,2005
44.31419,-68.18947,2008,2008
44.31748417,-64.17390727,2000,2022
44.32544899,-64.25922339,2000,2022
44.32727,-68.31394,2009,2009
44.33128,-68.0515,2009,2009
44.33160902,-64.28214228,2000,2022
44.333,-68.306004,2010,2010
44.333,-68.306,2014,2014
44.3345,-68.0525,2017,2018
44.3357,-68.03724,2011,2011
44.3357,-68.0372,2014,2014
44.3358,-68.0553,2013,2013
44.34023,-68.04249,2008,2008
44.349586,-68.093441,2002,2002
44.3541,-68.0934,2014,2014
44.35412,-68.0996,2012,2012
44.36204,-67.93636,2008,2008
44.36297,-68.0769,2013,2013
44.363,-68.087,2006,2006
44.3631,-68.0932,2005,2005
44.3631,-68.0781,2017,2017
44.3632,-68.1054,2007,2007
44.3636,-68.1757,2004,2004
44.36367,-68.18109,2008,2008
44.3638,-68.181,2016,2016
44.3641,-68.0985,2018,2018
44.364216,-64.180952,1983,2014
44.36424983,-64.18272067,2000,2022
44.3644,-67.9344,2017,2017
44.36649,-67.9299,2013,2013
44.36654,-67.93627,2003,2003
44.3668,-67.9823,2006,2006
